,datemut,valeurfonc,sbati,pp,valeur_per_met
0,2014-01-02,365000.0,43.0,2.0,8392.290249433107
1,2014-01-03,373650.0,49.5,2.5,8285.447761194031
2,2014-01-04,168000.0,26.0,1.0,6461.538461538462
3,2014-01-06,332500.0,40.0,2.0,8057.544757033248
4,2014-01-07,322000.0,37.5,2.0,7986.111111111111
5,2014-01-08,318250.0,43.5,2.0,7761.029411764706
6,2014-01-09,350000.0,45.0,2.0,8300.0
7,2014-01-10,322500.0,41.0,2.0,8243.040935672514
8,2014-01-11,162660.0,31.0,1.5,4634.761904761905
9,2014-01-12,256500.0,12.0,1.0,21375.0
10,2014-01-13,249300.0,33.0,2.0,7931.0344827586205
11,2014-01-14,275000.0,40.0,2.0,8044.375
12,2014-01-15,372500.0,46.0,2.0,8185.1612903225805
13,2014-01-16,310000.0,44.0,2.0,7717.391304347826
14,2014-01-17,340000.0,45.0,2.0,8083.333333333333
15,2014-01-18,202500.0,40.0,2.0,3916.6666666666665
16,2014-01-20,356500.0,45.0,2.0,8271.604938271605
17,2014-01-21,300000.0,40.0,2.0,7980.0
18,2014-01-22,289000.0,39.0,2.0,8150.997150997151
19,2014-01-23,342000.0,44.5,2.0,7786.607142857143
20,2014-01-24,300547.0,41.0,2.0,7914.285714285715
21,2014-01-25,205000.0,22.0,1.0,6818.181818181818
22,2014-01-26,80000.0,44.0,2.0,1818.1818181818182
23,2014-01-27,355000.0,47.0,2.0,8101.019912578922
24,2014-01-28,344000.0,45.0,2.0,7500.0
25,2014-01-29,306750.0,42.0,2.0,7917.701863354037
26,2014-01-30,300000.0,40.0,2.0,8157.995969957868
27,2014-01-31,340000.0,46.0,2.0,8390.243902439024
28,2014-02-01,327000.0,49.0,2.0,3715.909090909091
29,2014-02-02,420000.0,49.0,2.0,8571.42857142857
30,2014-02-03,312000.0,40.0,2.0,7928.571428571428
31,2014-02-04,346500.0,45.5,2.5,7786.616161616161
32,2014-02-05,302500.0,43.5,2.0,7777.777777777777
33,2014-02-06,346000.0,46.0,2.0,8157.894736842105
34,2014-02-07,341000.0,44.0,2.0,7976.147883124628
35,2014-02-10,352500.0,48.5,2.0,8221.343873517788
36,2014-02-11,276500.0,39.0,2.0,8432.962962962964
37,2014-02-12,275000.0,38.0,2.0,7777.777777777777
38,2014-02-13,310000.0,42.0,2.0,8353.846153846154
39,2014-02-14,330000.0,45.0,2.0,8095.238095238095
40,2014-02-15,205000.0,29.0,1.0,7068.9655172413795
41,2014-02-17,340000.0,42.0,2.0,7750.0
42,2014-02-18,390000.0,48.0,2.0,7950.0
