iter	RMSE
0	469244.4108
1	440309.8721
2	415612.0786
3	393735.865
4	374664.5461
5	357533.3141
6	342889.4517
7	330226.7342
8	318581.0966
9	308542.0873
10	299679.0355
11	292265.2743
12	285769.7732
13	279581.8017
14	274569.3307
15	270077.5101
16	265948.3858
17	262370.2399
18	259421.9554
19	256857.8631
20	254458.9364
21	252265.8677
22	250293.3971
23	248649.4454
24	247047.0179
25	245558.8337
26	244321.5232
27	243002.3644
28	241934.0747
29	240957.5475
30	239860.7781
31	238963.1383
32	237928.823
33	237120.0555
34	236797.5552
35	236194.4584
36	235701.7036
37	234996.0225
38	234434.6469
39	233963.506
40	233309.6226
41	233012.475
42	232558.1776
43	232250.1552
44	231765.6686
45	231449.2353
46	231208.1588
47	230919.2667
48	230676.789
49	230209.8298
50	230003.0965
51	229521.7333
52	229223.697
53	228804.2865
54	228631.7141
55	228262.9019
56	227961.9234
57	227667.1783
58	227532.5872
59	227175.4961
60	226929.9546
61	226689.7836
62	226404.6836
63	226123.045
64	226030.0843
65	225770.5618
66	225429.521
67	225316.8185
68	225159.7733
69	224837.6872
70	224423.4663
71	224132.2064
72	223900.3925
73	223716.5666
74	223509.2478
75	223315.6494
76	223193.5211
77	223037.058
78	222985.9651
79	222866.8431
80	222688.7005
81	222320.426
82	221978.7703
83	221871.4001
84	221463.626
85	221381.4065
86	221151.4577
87	221082.0132
88	220947.2391
89	220649.5662
90	220401.1597
91	220046.6939
92	219853.5528
93	219650.4329
94	219538.0209
95	219401.582
96	219283.0938
97	219036.3242
98	218804.2203
99	218565.4451
100	218437.9182
101	218222.6863
102	218092.0604
103	217890.8882
104	217811.5482
105	217699.9466
106	217423.7216
107	217130.3163
108	216986.8536
109	216712.5779
110	216413.3239
111	216311
112	216166.0403
113	215972.2103
114	215842.0065
115	215725.5842
116	215612.8775
117	215548.9989
118	215447.6517
119	215326.0227
120	215187.5725
121	215000.2981
122	214812.6162
123	214677.1143
124	214572.3279
125	214489.439
126	214322.6908
127	214273.2275
128	214193.8834
129	213911.0089
130	213644.0242
131	213504.1849
132	213380.4132
133	213294.5748
134	213073.7558
135	212916.1986
136	212779.5663
137	212723.1701
138	212596.3549
139	212522.6448
140	212456.8496
141	212393.201
142	212240.2607
143	212115.8877
144	212058.8517
145	211915.9227
146	211641.7034
147	211528.3368
148	211378.1639
149	211283.6847
150	211068.7622
151	210995.4619
152	210845.4774
153	210733.3428
154	210589.8004
155	210416.6251
156	210359.4955
157	210244.4949
158	210092.3771
159	210014.1982
160	209884.8463
161	209826.3897
162	209674.4564
163	209616.8891
164	209492.1617
165	209428.1411
166	209361.0553
167	209276.3644
168	209109.3203
169	209036.8576
170	208970.5714
171	208895.2267
172	208815.2958
173	208666.6237
174	208589.937
175	208517.616
176	208280.8739
177	208204.8477
178	207987.2351
179	207922.2008
180	207805.7995
181	207632.8891
182	207503.6521
183	207387.3757
184	207316.5868
185	207181.8197
186	207042.6187
187	206842.9036
188	206630.2995
189	206455.8953
190	206340.8314
191	206285.2968
192	206201.9934
193	206108.6576
194	206039.1838
195	205877.5173
196	205766.8447
197	205546.3812
198	205494.827
199	205404.6035
200	205317.2544
201	205259.6248
202	205232.4246
203	205137.1693
204	205078.4432
205	204924.9054
206	204864.6242
207	204662.3584
208	204529.7124
209	204490.491
210	204379.7838
211	204310.9912
212	204063.2604
213	204017.178
214	203918.1879
215	203806.5508
216	203689.4431
217	203547.3017
218	203424.2822
219	203274.6349
220	203191.3492
221	203059.8898
222	202991.4575
223	202797.998
224	202618.2454
225	202517.1547
226	202475.3829
227	202328.2259
228	202197.2035
229	202170.0058
230	202104.2341
231	201989.2142
232	201890.8548
233	201701.942
234	201612.4128
235	201534.5145
236	201453.1894
237	201356.7754
238	201200.7267
239	201146.366
240	201041.3086
241	200930.014
242	200777.112
243	200599.9586
244	200558.9935
245	200503.3914
246	200419.336
247	200372.1845
248	200268.3616
249	200090.2001
250	200021.5422
251	199883.2443
252	199760.5485
253	199641.0925
254	199573.8546
255	199523.1872
256	199441.5738
257	199263.121
258	199119.9743
259	198952.4662
260	198763.7703
261	198680.5347
262	198532.0674
263	198505.7216
264	198414.5601
265	198178.9543
266	198026.2232
267	197865.2812
268	197736.2405
269	197613.4739
270	197421.4593
271	197299.9505
272	197166.6988
273	197082.8453
274	196959.9251
275	196889.1259
276	196830.923
277	196670.3771
278	196569.3135
279	196487.8807
280	196365.1903
281	196218.5266
282	196120.1725
283	196007.5201
284	195906.3474
285	195863.4939
286	195740.753
287	195575.4706
288	195531.0488
289	195432.103
290	195337.3636
291	195237.5708
292	195147.6864
293	195082.0342
294	195041.341
295	194988.8314
296	194940.3098
297	194850.5349
298	194781.5239
299	194659.7776
300	194603.5795
301	194563.9998
302	194442.782
303	194373.999
304	194323.0715
305	194279.0076
306	194060.9183
307	193947.5654
308	193851.4984
309	193768.8526
310	193682.6878
311	193643.4223
312	193564.5251
313	193464.7107
314	193390.0177
315	193343.5071
316	193224.8656
317	193181.9396
318	193030.0433
319	192930.4358
320	192825.1524
321	192763.2187
322	192665.6279
323	192644.6731
324	192601.6353
325	192521.4034
326	192397.9285
327	192318.5952
328	192212.4503
329	192107.4
330	192091.6425
331	191964.7433
332	191859.3337
333	191768.8951
334	191709.2024
335	191638.2553
336	191552.5785
337	191467.2606
338	191399.1552
339	191351.2701
340	191243.0151
341	191109.6291
342	191104.4823
343	191069.0636
344	190987.0466
345	190926.9974
346	190893.9052
347	190767.0885
348	190688.499
349	190668.3881
350	190617.1648
351	190547.9798
352	190482.1603
353	190425.7899
354	190312.3271
355	190232.5239
356	190181.2235
357	190114.7134
358	190036.8154
359	189975.696
360	189926.7417
361	189765.8363
362	189624.0938
363	189548.4595
364	189492.2212
365	189410.0927
366	189363.7814
367	189281.8513
368	189216.4965
369	189182.6675
370	189118.1717
371	189076.7939
372	188980.5621
373	188908.7342
374	188788.0311
375	188690.831
376	188587.9964
377	188514.348
378	188472.18
379	188435.9024
380	188314.6921
381	188240.3569
382	188181.8918
