iter	Passed	Remaining
0	30	61833
1	58	57951
2	85	56670
3	112	56166
4	140	55961
5	168	55832
6	196	56066
7	220	54932
8	247	54836
9	275	54823
10	300	54336
11	331	54857
12	359	54903
13	385	54643
14	410	54325
15	437	54206
16	465	54293
17	493	54392
18	523	54549
19	549	54356
20	572	53950
21	598	53832
22	624	53704
23	651	53622
24	677	53546
25	704	53503
26	734	53698
27	757	53343
28	781	53124
29	806	52992
30	832	52883
31	858	52797
32	881	52523
33	906	52416
34	931	52324
35	956	52208
36	982	52144
37	1008	52065
38	1035	52064
39	1063	52127
40	1089	52040
41	1111	51824
42	1138	51829
43	1163	51707
44	1189	51670
45	1215	51638
46	1239	51520
47	1263	51398
48	1292	51453
49	1321	51525
50	1346	51471
51	1377	51595
52	1403	51560
53	1431	51579
54	1455	51472
55	1485	51551
56	1509	51439
57	1530	51261
58	1557	51249
59	1580	51115
60	1608	51117
61	1632	51022
62	1659	51015
63	1684	50944
64	1707	50819
65	1730	50708
66	1755	50647
67	1779	50569
68	1812	50730
69	1836	50635
70	1860	50543
71	1882	50419
72	1913	50510
73	1940	50509
74	1966	50470
75	1993	50473
76	2018	50409
77	2045	50414
78	2070	50349
79	2094	50256
80	2119	50215
81	2144	50158
82	2173	50201
83	2198	50156
84	2226	50151
85	2251	50106
86	2275	50037
87	2304	50080
88	2329	50015
89	2355	49983
90	2384	50016
91	2412	50036
92	2437	49978
93	2463	49951
94	2490	49931
95	2514	49863
96	2540	49841
97	2569	49875
98	2599	49923
99	2626	49911
100	2649	49817
101	2673	49751
102	2700	49734
103	2722	49638
104	2747	49592
105	2774	49583
106	2797	49490
107	2823	49455
108	2846	49381
109	2871	49341
110	2894	49259
111	2922	49270
112	2950	49271
113	2974	49207
114	3002	49217
115	3027	49168
116	3053	49140
117	3077	49086
118	3102	49046
119	3132	49082
120	3158	49050
121	3183	48998
122	3208	48962
123	3234	48932
124	3257	48865
125	3283	48832
126	3312	48853
127	3334	48765
128	3357	48699
129	3383	48675
130	3409	48642
131	3439	48670
132	3466	48664
133	3493	48648
134	3518	48611
135	3542	48555
136	3568	48526
137	3590	48451
138	3616	48423
139	3638	48336
140	3663	48304
141	3688	48258
142	3711	48200
143	3737	48174
144	3759	48099
145	3786	48082
146	3812	48053
147	3833	47976
148	3863	47997
149	3887	47939
150	3917	47975
151	3941	47920
152	3968	47904
153	3991	47840
154	4019	47844
155	4048	47859
156	4075	47839
157	4100	47802
158	4130	47824
159	4157	47813
160	4181	47761
161	4207	47739
162	4231	47689
163	4259	47690
164	4286	47672
165	4312	47649
166	4339	47628
167	4363	47587
168	4392	47591
169	4419	47577
170	4442	47511
171	4468	47495
172	4491	47437
173	4517	47404
174	4540	47350
175	4565	47318
176	4593	47310
177	4617	47267
178	4643	47238
179	4666	47184
180	4693	47163
181	4718	47134
182	4741	47082
183	4763	47010
184	4791	47009
185	4816	46970
186	4846	46988
187	4873	46975
188	4902	46977
189	4932	46988
190	4956	46944
191	4979	46893
192	5004	46854
193	5028	46809
194	5050	46745
195	5076	46727
196	5101	46686
197	5129	46680
198	5152	46632
199	5178	46609
200	5204	46584
201	5226	46524
202	5249	46469
